Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20170102,12:00,8212.00,8133.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8175.05,0.00,0.00,True
20170103,12:00,8214.75,8148.60,True,False,True,False,8219.10,4.35,0.05,8178.85,-35.90,-0.44,0.00,0.00,0.0,0.00,0.00,0.0,8191.65,-23.10,0.00,False
20170104,12:00,8218.50,8190.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8180.90,9.95,0.12,8212.90,-22.05,-0.27,8195.15,0.00,-4.30,False
20170105,12:00,8267.00,8223.70,True,False,True,False,8282.65,15.65,0.19,8251.95,-15.05,-0.18,0.00,0.00,0.0,0.00,0.00,0.0,8270.35,3.35,0.00,False
20170106,12:00,8306.85,8259.40,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8233.25,26.15,0.32,8279.15,-19.75,-0.24,8248.10,0.00,11.30,False
20170109,12:00,8263.00,8227.75,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8231.75,0.00,0.00,True
20170110,12:00,8288.10,8261.00,True,False,True,False,8293.80,5.70,0.07,8264.20,-23.90,-0.29,0.00,0.00,0.0,0.00,0.00,0.0,8291.35,3.25,0.00,False
20170111,12:00,8345.45,8322.25,True,False,True,False,8389.00,43.55,0.52,8342.15,-3.30,-0.04,0.00,0.00,0.0,0.00,0.00,0.0,8375.85,30.40,0.00,False
20170112,12:00,8417.20,8382.30,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8407.50,0.00,0.00,True
20170113,12:00,8461.05,8373.65,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,8373.15,0.50,0.01,8407.40,-33.75,-0.4,8398.95,0.00,-25.30,False
20170116,12:00,8414.95,8374.40,True,False,True,False,8426.70,11.75,0.14,8397.55,-17.40,-0.21,0.00,0.00,0.0,0.00,0.00,0.0,8415.25,0.30,0.00,False
20170117,12:00,8440.90,8394.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8378.30,16.50,0.2,8404.40,-9.60,-0.11,8392.25,0.00,2.55,False
20170118,12:00,8460.30,8403.65,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8397.40,6.25,0.07,8446.45,-42.80,-0.51,8417.50,0.00,-13.85,False
20170119,12:00,8439.25,8404.05,True,False,True,False,8445.15,5.90,0.07,8415.00,-24.25,-0.29,0.00,0.00,0.0,0.00,0.00,0.0,8431.50,-7.75,0.00,False
20170120,12:00,8423.65,8397.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8340.95,56.10,0.67,8417.90,-20.85,-0.25,8349.85,0.00,47.20,False
20170123,12:00,8404.15,8327.20,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8397.00,0.00,0.00,True
20170124,12:00,8442.15,8398.15,True,False,True,False,8480.95,38.80,0.46,8427.50,-14.65,-0.17,0.00,0.00,0.0,0.00,0.00,0.0,8478.95,36.80,0.00,False
20170125,12:00,8526.15,8493.95,True,False,True,False,8612.60,86.45,1.01,8522.30,-3.85,-0.05,0.00,0.00,0.0,0.00,0.00,0.0,8605.65,79.50,0.00,False
20170127,12:00,8672.05,8606.90,True,False,True,False,8672.70,0.65,0.01,8632.55,-39.50,-0.46,0.00,0.00,0.0,0.00,0.00,0.0,8645.95,-26.10,0.00,False
20170130,12:00,8650.15,8617.75,True,False,True,False,8662.60,12.45,0.14,8625.25,-24.90,-0.29,0.00,0.00,0.0,0.00,0.00,0.0,8636.55,-13.60,0.00,False
20170131,12:00,8631.75,8572.85,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8552.40,20.45,0.24,8603.00,-30.15,-0.35,8556.85,0.00,16.00,False
20170201,12:00,8586.20,8537.50,True,False,True,False,8722.40,136.20,1.59,8540.70,-45.50,-0.53,0.00,0.00,0.0,0.00,0.00,0.0,8716.45,130.25,0.00,False
20170202,12:00,8727.00,8685.80,True,False,True,False,8757.60,30.60,0.35,8690.75,-36.25,-0.42,0.00,0.00,0.0,0.00,0.00,0.0,8721.00,-6.00,0.00,False
20170203,12:00,8748.25,8707.75,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,8742.20,0.00,0.00,True
20170206,12:00,8809.10,8779.85,True,True,True,True,8814.10,5.00,0.06,8770.20,-38.90,-0.44,8770.20,9.65,0.11,8814.10,-34.25,-0.39,8800.85,-8.25,-21.00,False
20170207,12:00,8809.30,8770.10,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,8741.05,29.05,0.33,8792.80,-22.70,-0.26,8773.95,0.00,-3.85,False
