Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20140101,12:30,11432.55,11361.00,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,11402.45,0.00,0.00,True
20140102,12:30,11573.25,11381.10,True,True,True,True,11578.90,5.65,0.05,11150.20,-423.05,-3.66,11150.20,230.90,2.03,11578.90,-197.80,-1.74,11179.85,-393.40,201.25,False
20140103,12:30,11170.10,11058.80,True,True,True,True,11207.70,37.60,0.34,11052.60,-117.50,-1.05,11052.60,6.20,0.06,11207.70,-148.90,-1.35,11202.10,32.00,-143.30,False
20140106,12:30,11167.30,11041.95,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10996.95,45.00,0.41,11085.20,-43.25,-0.39,11053.55,0.00,-11.60,False
20140107,12:30,11154.10,10895.55,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,10892.15,3.40,0.03,11089.95,-194.40,-1.78,11029.95,0.00,-134.40,False
20140108,12:30,11122.75,10988.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,11057.70,0.00,0.00,True
20140109,12:30,11090.25,10925.35,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,10925.15,0.20,0.0,11034.25,-108.90,-1.0,10971.10,0.00,-45.75,False
20140110,12:30,11056.90,10839.80,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10788.20,51.60,0.48,11044.50,-204.70,-1.89,10802.45,0.00,37.35,False
20140113,12:30,10958.85,10843.95,True,False,True,False,11063.00,104.15,0.95,10897.85,-61.00,-0.56,0.00,0.00,0.0,0.00,0.00,0.0,11056.25,97.40,0.00,False
20140114,12:30,11065.65,10996.20,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10922.60,73.60,0.67,11025.40,-29.20,-0.27,10956.70,0.00,39.50,False
20140115,12:30,11164.10,10986.10,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,11128.85,0.00,0.00,True
20140116,12:30,11192.80,11101.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,11070.00,31.75,0.29,11133.00,-31.25,-0.28,11085.05,0.00,16.70,False
20140117,12:30,11081.95,10962.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10893.75,68.85,0.63,11016.10,-53.50,-0.49,10926.75,0.00,35.85,False
20140120,12:30,11016.05,10876.25,True,False,True,False,11022.45,6.40,0.06,10939.55,-76.50,-0.69,0.00,0.00,0.0,0.00,0.00,0.0,11012.50,-3.55,0.00,False
20140121,12:30,11176.65,11036.40,True,False,True,False,11189.20,12.55,0.11,11110.75,-65.90,-0.59,0.00,0.00,0.0,0.00,0.00,0.0,11184.80,8.15,0.00,False
20140122,12:30,11248.35,11094.80,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,11183.75,0.00,0.00,True
20140123,12:30,11210.65,11122.35,True,False,True,False,11221.10,10.45,0.09,11165.05,-45.60,-0.41,0.00,0.00,0.0,0.00,0.00,0.0,11197.90,-12.75,0.00,False
20140124,12:30,11132.70,10984.15,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10972.10,12.05,0.11,11033.70,-49.55,-0.45,10987.05,0.00,-2.90,False
20140127,12:30,10770.10,10577.90,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10520.90,57.00,0.54,10649.75,-71.85,-0.68,10550.60,0.00,27.30,False
20140128,12:30,10708.00,10333.40,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,10517.75,0.00,0.00,True
20140129,12:30,10644.20,10535.45,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10406.95,128.50,1.22,10574.00,-38.55,-0.37,10449.50,0.00,85.95,False
20140130,12:30,10314.25,10200.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10101.20,98.85,0.97,10230.25,-30.20,-0.3,10160.85,0.00,39.20,False
20140131,12:30,10245.65,10130.30,True,False,True,False,10266.45,20.80,0.2,10170.85,-74.80,-0.73,0.00,0.00,0.0,0.00,0.00,0.0,10247.05,1.40,0.00,False
20140203,12:30,10222.65,10131.60,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,10089.25,42.35,0.42,10170.90,-39.30,-0.39,10103.30,0.00,28.30,False
